scope|target_path|proposed_action|classification|confidence|matched_rule_id|explanation
directory|/.git|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
directory|/.git/hooks|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
directory|/.git/info|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
directory|/.git/logs|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
directory|/.git/logs/refs|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
directory|/.git/logs/refs/heads|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
directory|/.git/logs/refs/remotes|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
directory|/.git/logs/refs/remotes/origin|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
directory|/.git/objects|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
directory|/.git/objects/01|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
directory|/.git/objects/21|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
directory|/.git/objects/48|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
directory|/.git/objects/6f|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
directory|/.git/objects/87|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
directory|/.git/objects/cd|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
directory|/.git/objects/pack|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
directory|/.git/refs|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
directory|/.git/refs/heads|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
directory|/.git/refs/remotes|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
directory|/.git/refs/remotes/origin|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
directory|/_meta|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
directory|/docs|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
file|./.git/COMMIT_EDITMSG|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
file|./.git/HEAD|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
file|./.git/config|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
file|./.git/description|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
file|./.git/hooks/applypatch-msg.sample|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
file|./.git/hooks/commit-msg.sample|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
file|./.git/hooks/fsmonitor-watchman.sample|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
file|./.git/hooks/post-update.sample|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
file|./.git/hooks/pre-applypatch.sample|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
file|./.git/hooks/pre-commit.sample|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
file|./.git/hooks/pre-merge-commit.sample|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
file|./.git/hooks/pre-push.sample|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
file|./.git/hooks/pre-rebase.sample|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
file|./.git/hooks/pre-receive.sample|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
file|./.git/hooks/prepare-commit-msg.sample|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
file|./.git/hooks/push-to-checkout.sample|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
file|./.git/hooks/sendemail-validate.sample|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
file|./.git/hooks/update.sample|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
file|./.git/index|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
file|./.git/info/exclude|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
file|./.git/logs/HEAD|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
file|./.git/logs/refs/heads/main|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
file|./.git/logs/refs/remotes/origin/HEAD|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
file|./.git/logs/refs/remotes/origin/main|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
file|./.git/objects/01/90b0e2b9fe26771b2f1de001ae3a7601c250c3|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
file|./.git/objects/21/df08c5f8146c2b4967e58cee5076280251d354|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
file|./.git/objects/48/39f67ab15adad210c4aa126728e3716d8dbce5|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
file|./.git/objects/6f/a97ae6c4c81d26cd3493a60626471209d85587|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
file|./.git/objects/87/c9ae4216f724a5634358cf262a90a90b29735c|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
file|./.git/objects/cd/ea240e3e314d7d620e5dcdf8be4140feb86938|ignore|unknown / mixed|low|policy.unknown|classification is unknown / mixed; no action proposed
