scope|path|proposed_classification|confidence|explanation
directory|/.git|unknown / mixed|low|insufficient evidence: top score below minimum threshold
directory|/.git/hooks|unknown / mixed|low|insufficient evidence: top score below minimum threshold
directory|/.git/info|unknown / mixed|low|insufficient evidence: top score below minimum threshold
directory|/.git/logs|unknown / mixed|low|insufficient evidence: top score below minimum threshold
directory|/.git/logs/refs|unknown / mixed|low|insufficient evidence: top score below minimum threshold
directory|/.git/logs/refs/heads|unknown / mixed|low|insufficient evidence: top score below minimum threshold
directory|/.git/logs/refs/remotes|unknown / mixed|low|insufficient evidence: top score below minimum threshold
directory|/.git/logs/refs/remotes/origin|unknown / mixed|low|insufficient evidence: top score below minimum threshold
directory|/.git/objects|unknown / mixed|low|insufficient evidence: top score below minimum threshold
directory|/.git/objects/01|unknown / mixed|low|insufficient evidence: top score below minimum threshold
directory|/.git/objects/21|unknown / mixed|low|insufficient evidence: top score below minimum threshold
directory|/.git/objects/48|unknown / mixed|low|insufficient evidence: top score below minimum threshold
directory|/.git/objects/6f|unknown / mixed|low|insufficient evidence: top score below minimum threshold
directory|/.git/objects/87|unknown / mixed|low|insufficient evidence: top score below minimum threshold
directory|/.git/objects/cd|unknown / mixed|low|insufficient evidence: top score below minimum threshold
directory|/.git/objects/pack|unknown / mixed|low|insufficient evidence: top score below minimum threshold
directory|/.git/refs|unknown / mixed|low|insufficient evidence: top score below minimum threshold
directory|/.git/refs/heads|unknown / mixed|low|insufficient evidence: top score below minimum threshold
directory|/.git/refs/remotes|unknown / mixed|low|insufficient evidence: top score below minimum threshold
directory|/.git/refs/remotes/origin|unknown / mixed|low|insufficient evidence: top score below minimum threshold
directory|/_meta|unknown / mixed|low|insufficient evidence: top score below minimum threshold
directory|/docs|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/COMMIT_EDITMSG|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/HEAD|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/config|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/description|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/hooks/applypatch-msg.sample|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/hooks/commit-msg.sample|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/hooks/fsmonitor-watchman.sample|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/hooks/post-update.sample|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/hooks/pre-applypatch.sample|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/hooks/pre-commit.sample|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/hooks/pre-merge-commit.sample|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/hooks/pre-push.sample|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/hooks/pre-rebase.sample|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/hooks/pre-receive.sample|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/hooks/prepare-commit-msg.sample|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/hooks/push-to-checkout.sample|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/hooks/sendemail-validate.sample|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/hooks/update.sample|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/index|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/info/exclude|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/logs/HEAD|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/logs/refs/heads/main|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/logs/refs/remotes/origin/HEAD|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/logs/refs/remotes/origin/main|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/objects/01/90b0e2b9fe26771b2f1de001ae3a7601c250c3|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/objects/21/df08c5f8146c2b4967e58cee5076280251d354|unknown / mixed|low|insufficient evidence: top score below minimum threshold
file_fallback|./.git/objects/48/39f67ab15adad210c4aa126728e3716d8dbce5|unknown / mixed|low|insufficient evidence: top score below minimum threshold
